RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
153,Marquese ChrissGS,C,59,20.3,9.3,3.6,6.5,54.5,0.1,0.7,20.5,2,2.6,76.9,6.2,1.9,0.7,1.1,1.3,9,0,19.5
154,Landry ShametLAC,SG,53,27.4,9.3,3,7.4,40.4,2.1,5.6,37.5,1.2,1.4,85.5,1.9,1.9,0.4,0.2,0.8,0,0,8.51
155,Daniel TheisBOS,C,65,24.1,9.2,3.7,6.6,56.6,0.5,1.5,33.3,1.3,1.8,76.3,6.6,1.7,0.6,1.3,0.8,7,0,17.89
156,Donte DiVincenzoMIL,SG,66,23,9.2,3.5,7.7,45.5,1.3,3.7,33.6,1,1.3,73.3,4.8,2.3,1.3,0.3,1.4,1,0,14.09
157,Jarrett CulverMIN,SG,63,23.9,9.2,3.7,9,40.4,1,3.5,29.9,0.9,1.9,46.2,3.4,1.7,0.9,0.6,1.3,0,0,9.62
158,Mikal BridgesPHX,SF,73,28,9.1,3.4,6.6,51,1,2.7,36.1,1.4,1.7,84.4,4,1.8,1.4,0.6,1,1,0,12.97
159,Maxi KleberDAL,PF,74,25.5,9.1,3.2,6.9,46.1,1.6,4.3,37.3,1.1,1.3,84.9,5.2,1.2,0.3,1.1,0.8,2,0,13.62
160,Monte MorrisDEN,PG,73,22.4,9,3.6,7.8,45.9,0.9,2.4,37.8,1,1.2,84.3,1.9,3.5,0.8,0.2,0.7,0,0,14.98
161,Derrick FavorsNO,C,51,24.4,9,4.1,6.6,61.7,0,0.1,14.3,0.8,1.4,56.3,9.8,1.6,0.6,0.9,1.1,18,0,18.54
161,Sviatoslav MykhailiukDET,SG,56,22.6,9,3,7.2,41,2.1,5.1,40.4,1,1.3,81.4,1.9,1.9,0.7,0.1,1.1,0,0,11.21
163,Bruce BrownDET,SG,58,28.2,8.9,3.4,7.7,44.3,0.6,1.7,34.4,1.5,2.1,73.9,4.7,4,1.1,0.5,1.7,4,0,11.96
164,Gary Trent Jr.POR,SG,61,21.8,8.9,3.2,7.2,44.4,1.8,4.4,41.8,0.6,0.7,82.2,1.6,1,0.8,0.3,0.3,0,0,12.91
165,Cameron JohnsonPHX,SF,57,22,8.8,3.1,7.1,43.5,1.9,4.8,39,0.8,1,80.7,3.3,1.2,0.6,0.4,0.6,2,0,12.94
166,Jordan PooleGS,SG,57,22.4,8.8,2.9,8.8,33.3,1.3,4.6,27.9,1.7,2.1,79.8,2.1,2.4,0.6,0.2,1.3,0,0,7.25
167,Kent BazemorePOR/SAC,SG,68,24.8,8.8,2.9,7.9,37.5,1.2,3.6,34.4,1.7,2.2,76.9,4.3,1.4,1.1,0.6,1.3,0,0,9.3
168,Austin RiversHOU,PG,68,23.4,8.8,3.1,7.4,42.1,1.4,4,35.6,1.1,1.6,70.3,2.6,1.7,0.7,0.1,0.7,0,0,10.47
169,Josh OkogieMIN,SF,62,25,8.6,2.7,6.4,42.7,0.7,2.5,26.6,2.5,3.1,79.6,4.3,1.6,1.1,0.4,1.4,0,0,11.56
170,Derrick Jones Jr.MIA,SF,59,23.3,8.5,3.1,5.9,52.7,0.6,2.2,28,1.6,2.1,77.2,3.9,1.1,1,0.6,0.5,0,0,14.92
171,E'Twaun MooreNO,SG,56,18.2,8.3,3.3,7.8,42.6,1.1,3,37.7,0.6,0.8,68.9,2.3,1.4,0.6,0.2,0.7,0,0,11.38
172,DeAndre JordanBKN,C,56,22,8.3,3.4,5.1,66.6,0,0,0,1.5,2.2,68,10,1.9,0.3,0.9,1.3,13,0,19.95
173,Ivica ZubacLAC,C,72,18.4,8.3,3.3,5.3,61.3,0,0,0,1.7,2.3,74.7,7.5,1.1,0.2,0.9,0.8,10,0,21.75
174,Anfernee SimonsPOR,SG,70,20.7,8.3,3.1,7.7,39.9,1.1,3.2,33.2,1.1,1.3,82.6,2.2,1.4,0.4,0.1,0.9,1,0,9
175,Justin HolidayIND,SF,73,25,8.3,2.8,6.7,42.8,1.8,4.5,40.5,0.7,0.9,79.1,3.3,1.3,1.2,0.6,0.6,0,0,12.14
176,Kelly OlynykMIA,PF,67,19.4,8.2,2.7,5.9,46.2,1.4,3.5,40.6,1.3,1.5,86,4.6,1.7,0.7,0.3,1.1,3,0,14.67
177,Jalen BrunsonDAL,PG,57,17.9,8.2,3.2,6.8,46.6,0.8,2.1,35.8,1.1,1.3,81.3,2.4,3.3,0.4,0.1,1.2,2,0,14.96
178,Enes KanterBOS,C,58,16.9,8.1,3.4,6,57.2,0,0.1,14.3,1.2,1.7,70.7,7.4,1,0.4,0.7,1,9,0,22.48
179,Danny GreenLAL,SG,68,24.8,8,2.9,7,41.6,1.8,4.8,36.7,0.5,0.7,68.8,3.3,1.3,1.3,0.5,0.9,0,0,10.79
180,Tony SnellDET,SF,59,27.8,8,2.9,6.5,44.5,1.7,4.3,40.2,0.5,0.5,100,1.9,2.2,0.5,0.3,0.5,0,0,9.74
181,Trevor ArizaPOR/SAC,SF,53,28.2,8,2.7,6.1,43.8,1.5,3.9,37.2,1.2,1.4,83.8,4.6,1.7,1.3,0.3,1.1,0,0,11.01
182,Alex LenATL/SAC,C,55,17.6,8,3.2,5.8,55.5,0.3,1.1,27.1,1.2,1.9,64.8,5.8,0.9,0.4,0.9,1,8,0,17.72
183,Patrick BeverleyLAC,PG,51,26.3,7.9,2.9,6.7,43.1,1.6,4,38.8,0.6,0.9,66,5.2,3.6,1.1,0.5,1.3,4,0,12.54
